GbProv,ProvCH,ProvEN,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
33,浙江省,Zhejiang,53.9994505494506,52.4343956043956,47.8052173913043,43.4163043478261,58.3300000000000,52.6325274725275,53.3195652173913,55.9613043478261,64.3885555555556,62.7193406593407,57.2918478260870,52.7465217391304,22.1028813559322
34,安徽省,Anhui,52.6061538461538,50.9791208791209,46.1186956521739,42.8545652173913,48.5176666666667,46.1118681318681,53.1340217391304,56.9400000000000,61.1653333333333,66.0493406593407,77.6056521739130,54.7705434782609,33.4761016949153
35,福建省,Fujian,53.8873626373626,61.4362637362637,53.3628260869565,49.0028260869565,55.4640000000000,41.8775824175824,50.8258695652174,47.2380434782609,60.0105555555556,56.5600000000000,54.3197826086957,52.4933695652174,31.2184745762712
36,江西省,Jiangxi,60.4997802197802,56.9996703296703,48.9055434782609,46.3489130434783,48.2393333333333,46.6395604395604,58.5404347826087,58.8935869565217,44.9072222222222,54.7368131868132,65.9617391304348,59.2483695652174,28.9206779661017
37,山东省,Shandong,59.3663736263736,58.6180219780220,37.4470652173913,35.1855434782609,44.8963333333333,38.2546153846154,48.2102173913044,56.6008695652174,60.5660000000000,67.7671428571429,76.8211956521739,75.9243478260870,37.9866101694915
41,河南省,Henan,57.9481318681319,64.2362637362637,58.9152173913043,54.5326086956522,55.5600000000000,38.2671428571429,46.4075000000000,46.9396739130435,64.1332222222222,61.2812087912088,64.5492391304348,73.8650000000000,24.1859322033898
42,湖北省,Hubei,67.3981318681319,72.9754945054945,58.9152173913043,54.7739130434783,59.3216666666667,47.7698901098901,53.8186956521739,50.0000000000000,50.3083333333333,57.4653846153846,61.3872826086957,52.1758695652174,29.4454237288136
43,湖南省,Hunan,52.2996703296703,48.9809890109890,41.3231521739130,36.9363043478261,37.9600000000000,37.9600000000000,45.7667391304348,41.4964130434783,55.3034444444444,58.0850549450549,45.9804347826087,58.9779347826087,14.6694915254237
44,广东省,Guangdong,55.6996703296703,67.2983516483516,57.4263043478261,48.9726086956522,41.0277777777778,44.9520879120879,51.1515217391304,52.5756521739130,59.6701111111111,63.6890109890110,66.6643478260870,67.4178260869565,29.9761016949153
45,广西省,Guangxi,54.0300000000000,50.3852747252747,41.3231521739130,37.1176086956522,44.4457777777778,41.2440659340659,45.9917391304348,50.8226086956522,54.1983333333333,55.5600000000000,63.7365217391304,52.5995652173913,33.4338983050847
46,海南省,Hainan,44.7086813186813,46.3146153846154,32.9904347826087,28.0389130434783,38.7540000000000,32.4100000000000,41.8741304347826,39.5917391304348,53.5567777777778,52.7780219780220,61.6753260869565,35.1620652173913,20.8894915254237
50,重庆市,Chongqing,50.2839560439560,59.7802197802198,52.4865217391304,46.1926086956522,47.2816666666667,45.8758241758242,44.9041304347826,53.3806521739131,57.3758888888889,51.7718681318681,61.8067391304348,60.3005434782609,25.8283050847458
51,四川省,Sichuan,53.0216483516483,46.3548351648352,44.2590217391304,46.9572826086957,60.0251111111111,46.3000000000000,47.2808695652174,50.5439130434783,57.8115555555556,62.8740659340659,58.5003260869565,53.3853260869565,43.5810169491526
52,贵州省,Guizhou,56.5019780219780,54.8021978021978,40.5590217391304,37.4798913043478,47.7767777777778,38.4793406593407,44.5060869565217,58.6756521739130,63.8982222222222,51.8500000000000,56.9564130434783,44.5865217391304,22.9932203389831
53,云南省,Yunnan,51.0170329670330,62.2698901098901,55.2656521739131,49.1535869565217,54.1415555555556,67.9424175824176,68.8919565217391,66.2286956521739,67.3157777777778,58.6539560439560,55.1705434782609,61.3309782608696,22.9944067796610
54,西藏,Xizang,53.4092307692308,61.6294505494505,58.1490217391304,54.5326086956522,48.3725555555556,43.5200000000000,43.5200000000000,43.5200000000000,43.5200000000000,48.5820879120879,67.4664130434783,56.8196739130435,33.0684745762712
61,陕西省,Shaanxi,53.3896703296703,59.8991208791209,57.4247826086957,49.6214130434783,55.8123333333333,45.5435164835165,47.6443478260870,57.5239130434783,67.4078888888889,63.6615384615385,69.3526086956522,55.3715217391304,30.9493220338983
62,甘肃省,Gansu,49.3809890109890,50.1608791208791,41.4840217391304,36.9363043478261,40.4620000000000,39.9762637362637,46.2829347826087,60.9789130434783,63.5524444444445,65.5270329670330,71.8721739130435,61.7298913043478,31.2654237288136
63,青海省,Qinghai,55.4840659340659,56.2375824175824,52.7800000000000,52.7800000000000,57.0680000000000,52.7800000000000,50.8680434782609,41.7976086956522,61.1100000000000,61.1100000000000,60.8284782608696,54.8105434782609,21.9584745762712
64,宁夏省,Ningxia,54.6702197802198,63.1473626373626,55.0228260869565,50.8226086956522,55.3951111111111,42.4813186813187,50.7455434782609,57.7493478260870,56.9400000000000,56.9400000000000,59.4867391304348,62.5303260869565,47.4072881355932
65,新疆,Xinjiang,58.8336263736264,50.0000000000000,62.1230434782609,54.4634782608696,43.5200000000000,43.5192307692308,44.0639130434783,55.0646739130435,55.5600000000000,55.5600000000000,65.3078260869565,69.6460869565217,21.3583050847458
