GbProv,ProvCH,ProvEN,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
11,北京市,Beijing,26.4840182648402,15.4812193172737,0.7764329755652,2.1011762018956,3.0607583371403,1.3248058474189,2.0557332115121,3.9287345820009,25.4910918227501,87.5785624500057,24.6055339583810,137.3755863173550
12,天津市,Tianjin,12.5631768953069,1.7322266329845,3.0303030303030,4.9765596826542,4.6142754145638,2.0238525478858,6.2318840579710,6.7562658917545,87.8368536052440,16.1984677125137,26.5350877192982,119.1504943244230
13,河北省,Hebei,4.3104605881563,0.3757758765308,0.2146066662196,0.1072421998056,12.6473740621651,0.0000000000000,0.0000000000000,1.8921095008052,6.6326530612245,0.7391479639833,0.2959375840732,18.1365288811095
14,山西省,Shanxi,3.8890477552188,1.7738359201774,0.1717475311292,0.5727786926326,0.4871060171920,0.3440860215054,0.2008608321377,0.1722900215363,1.2643678160920,3.2468931829610,1.4940382129005,19.2774545715722
15,内蒙古,Neimenggu,4.4306418219462,5.4311774461028,1.1623080116231,4.0731504571904,0.4161464835622,0.8325528150692,0.9993753903810,31.9900031240237,20.7083333333333,17.2482033121550,28.0774838575297,157.5757575757580
21,辽宁省,Liaoning,3.2499415478139,0.3745756759920,2.7191748710736,1.7838281891797,1.4101057579319,0.4707543839002,0.6600660066007,8.0037775941447,18.5859541262710,3.2693674484719,4.1775456919060,32.0332936979786
22,吉林省,Jilin,4.0032679738562,2.3401416401519,0.0825252733650,0.0000000000000,17.3405585660692,0.0000000000000,0.0418935902807,0.6299874002520,1198.9052631578900,474.1898025968540,1.5244547956807,1131.1604204268000
23,黑龙江省,Heilongjiang,14.8694316436252,14.3166357452072,0.0311235605353,0.5012531328321,20.3721223588773,0.0633011552461,2.5412960609911,10.9357564163877,11.8720000000000,18.6628186628187,12.7249357326478,73.3537272580905
31,上海市,Shanghai,20.5159209995969,8.1764172792267,11.5516200442745,20.5932629462041,14.9115755627010,12.8604440872099,15.9132007233273,19.8895027624309,120.3696263559660,2299.8591832629200,36.3819500402901,1713.4153722009300
32,江苏省,Jiangsu,7.6278191049711,0.0944398536182,0.1416263424997,0.2123893805310,0.2831190279580,0.4007543611504,10.0930396890826,0.3059543421982,4.5385067607290,2.8327945930062,1.7626321974148,20.6989720998532
33,浙江省,Zhejiang,19.7176470588235,0.1875512835541,0.2024449116250,0.3723961363901,0.2628324056895,0.9713228492137,0.9532595325953,8.7089849739344,10.1834862385321,7.2222010153834,4.0558054433178,35.3393475695634
34,安徽省,Anhui,16.2508207485227,0.0164062179566,0.0000000000000,0.0327774818700,0.0163800163800,0.1964958244637,0.0327385824194,0.0163639338897,0.4580402421070,0.4741273604185,7.1895424836601,16.3795215154732
35,福建省,Fujian,8.2910321489002,0.4827419744147,1.1087008917812,2.4789410348977,1.1776015380918,2.7834433113377,14.4944896981313,1.8418849419926,33.8667303558634,15.5710788703803,22.2805970149254,75.5298191152767
36,江西省,Jiangxi,20.7484499557130,-0.1106990645929,0.0664084117322,0.0000000000000,0.0442575791104,0.0000000000000,0.0000000000000,0.4869950193691,1.7046712419748,7.8101664915095,2.3438363736871,21.8109496712889
37,山东省,Shandong,7.6588165446270,0.1778524318850,0.3946524591781,0.2955592226792,0.0688637481554,0.1377105619083,0.4917629702483,1.0719114935464,15.0835791543756,1.7210434440538,3.4230069345399,20.8268771981603
41,河南省,Henan,12.8875871124129,0.0000000000000,0.0503981453483,0.1812506293425,0.1207122019918,0.0604442653503,2.2497982243745,1.0204597120485,12.0206415056157,3.5829052908580,1.4882308276386,23.2005873566419
42,湖北省,Hubei,1143.9345368651900,5.6788234293973,0.0685400959561,0.1726966583197,0.0522193211488,0.1734229351832,2.3498920086393,0.3270927480095,1.2692967409949,0.1885660409703,0.4625663868426,773.8549781696770
43,湖南省,Hunan,15.3313253012048,0.0150574063618,0.0000000000000,0.0301034807150,0.3160270880361,0.2259291335618,1.8843747644532,0.5431707593075,1.6007248565388,1.1635814129203,0.8468168758506,16.0399485511084
44,广东省,Guangdong,11.9625270237809,1.1738635683057,1.4813045036435,1.7235559262127,1.8615335868188,3.6237044069942,3.4297455350087,2.1706527744889,24.7555976032797,6.7838056360804,20.3306893966300,60.3454742868424
45,广西省,Guangxi,5.0983540746688,0.0000000000000,0.0999900009999,0.0998053795100,0.0597728631201,0.1592515178660,0.4574383452665,6.2593144560358,17.1927734762756,3.3733505308066,13.4867116223721,30.6868867082962
46,海南省,Hainan,16.8844221105528,0.3002251688767,0.0000000000000,0.0000000000000,0.0000000000000,1.6765285996055,0.1968503937008,0.0000000000000,0.5882352941176,9.0041595302178,846.8001954079140,580.7364057546940
50,重庆市,Chongqing,18.1618569636136,0.0939481719252,0.0625293106144,0.1872805306282,0.0311623558741,0.2180855206792,0.1557389814671,0.2491241728299,2.4906600249066,1.3074947466729,9.5564202334630,29.3518014162322
51,四川省,Sichuan,6.5860376002874,0.5385351842987,1.1601483076187,1.9244561319627,1.1348703858559,1.7918470957145,1.3020366720421,1.3378325917520,4.9331103678930,7.6799044490893,38.8032963095665,52.1765092255329
52,贵州省,Guizhou,3.7941787941788,0.0259706531619,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.3114052160374,0.3634475597092,0.3114456267843,19.0451478982875,16.4461738002594
